"","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","ridersup"
"1",0,6,0,2,0.344167,0.363625,0.805833,0.160446,985,"NOTUP"
"2",0,0,0,2,0.363478,0.353739,0.696087,0.248539,801,"NOTUP"
"3",0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349,"NOTUP"
"4",0,2,1,1,0.2,0.212122,0.590435,0.160296,1562,"NOTUP"
"5",0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600,"NOTUP"
"6",0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606,"NOTUP"
"7",0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510,"NOTUP"
"8",0,6,0,2,0.165,0.162254,0.535833,0.266804,959,"NOTUP"
"9",0,0,0,1,0.138333,0.116175,0.434167,0.36195,822,"NOTUP"
"10",0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321,"NOTUP"
"11",0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263,"NOTUP"
"12",0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162,"NOTUP"
"13",0,4,1,1,0.165,0.150883,0.470417,0.301,1406,"NOTUP"
"14",0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421,"NOTUP"
"15",0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248,"NOTUP"
"16",0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204,"NOTUP"
"17",1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000,"NOTUP"
"18",0,2,1,2,0.216667,0.232333,0.861667,0.146775,683,"NOTUP"
"19",0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650,"NOTUP"
"20",0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927,"NOTUP"
"21",0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543,"NOTUP"
"22",0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981,"NOTUP"
"23",0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986,"NOTUP"
"24",0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416,"NOTUP"
"25",0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985,"NOTUP"
"26",0,3,1,3,0.2175,0.2036,0.8625,0.29385,506,"NOTUP"
"27",0,4,1,1,0.195,0.2197,0.6875,0.113837,431,"NOTUP"
"28",0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167,"NOTUP"
"29",0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098,"NOTUP"
"30",0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096,"NOTUP"
"31",0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501,"NOTUP"
"32",0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360,"NOTUP"
"33",0,3,1,2,0.26,0.254417,0.775417,0.264308,1526,"NOTUP"
"34",0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550,"NOTUP"
"35",0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708,"NOTUP"
"36",0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005,"NOTUP"
"37",0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623,"NOTUP"
"38",0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712,"NOTUP"
"39",0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530,"NOTUP"
"40",0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605,"NOTUP"
"41",0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538,"NOTUP"
"42",0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746,"NOTUP"
"43",0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472,"NOTUP"
"44",0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589,"NOTUP"
"45",0,1,1,1,0.415,0.39835,0.375833,0.417908,1913,"NOTUP"
"46",0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815,"NOTUP"
"47",0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115,"NOTUP"
"48",0,4,1,1,0.435833,0.428658,0.505,0.230104,2475,"NOTUP"
"49",0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927,"NOTUP"
"50",0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635,"NOTUP"
"51",0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812,"NOTUP"
"52",1,1,0,2,0.303333,0.284075,0.605,0.307846,1107,"NOTUP"
